from_date,to_date,count,amount
2020-04-01,2020-06-28,185348,33732166.0
2020-07-01,2020-09-28,354284,89495076.0
2020-10-01,2020-12-28,248626,170979933.0
2021-01-01,2021-03-28,318119,206307024.0
2021-04-01,2021-06-28,363989,295066678.0
2021-07-01,2021-09-28,374867,342403352.0
2021-10-01,2021-12-28,526327,655431877.0
2022-01-01,2022-03-28,617606,887447241.0
2022-04-01,2022-06-28,630758,857034846.0
2022-07-01,2022-09-28,806491,1054717869.0
2022-10-01,2022-12-28,1035364,1439762739.0
2023-01-01,2023-03-28,923173,1408801224.0
2023-04-01,2023-06-28,893850,1347399873.0
2023-07-01,2023-09-28,1010211,1445234680.0
2023-10-01,2023-12-28,1159063,1855299766.0
2024-01-01,2024-03-28,1273789,1931955654.0
2024-04-01,2024-06-28,1105041,1759627894.0
2024-07-01,2024-09-28,1213629,1941265641.0
2024-10-01,2024-12-28,1475429,2293956286.0
