year,entity,count,amount,level
2018,maharashtra,16387034,21711613257.725674,state
2018,uttar pradesh,12537805,13939970923.223106,state
2018,karnataka,12016899,19217895314.012802,state
2018,west bengal,11710225,10625978552.140453,state
2018,andhra pradesh,9039585,11996276391.823706,state
2018,telangana,8522766,13308204118.542435,state
2018,madhya pradesh,8025395,8681603403.446348,state
2018,rajasthan,7591690,8926293130.72684,state
2018,delhi,7122754,11211503806.91996,state
2018,tamil nadu,6726622,11261557697.516891,state
2018,bengaluru urban,8306513,14162750303.06484,district
2018,pune,3842929,5378982326.835919,district
2018,central delhi,2997714,4312145216.274474,district
2018,mumbai,2671029,3923116793.952079,district
2018,chennai,2656230,4281137762.522443,district
2018,hyderabad,2545507,4287223789.76588,district
2018,jaipur,2417174,2953086960.1413727,district
2018,birbhum,2125816,2520486412.452376,district
2018,kolkata,2043129,2753347660.1429114,district
2018,bhopal,1704495,1905473874.8326716,district
2018,560001,2917356,4684262246.184548,pincode
2018,110006,2636324,3714139312.238586,pincode
2018,400008,2227885,3105208723.475169,pincode
2018,600003,2010196,2997847000.265506,pincode
2018,731101,1764956,2366771285.7278423,pincode
2018,700009,1390629,1851145374.4001179,pincode
2018,411001,1055656,1413523605.5956619,pincode
2018,500012,933013,1643061976.4262943,pincode
2018,462001,832846,898730606.684653,pincode
2018,201301,690196,987613438.9540119,pincode
2018,maharashtra,22285740,36357057241.12254,state
2018,west bengal,18082446,18629183470.204285,state
2018,uttar pradesh,17710943,25720201695.701435,state
2018,karnataka,17116447,33515580081.29709,state
2018,andhra pradesh,12353918,22883914272.633617,state
2018,telangana,10764670,23017201517.652737,state
2018,madhya pradesh,10561412,15924081066.680984,state
2018,tamil nadu,9992128,20125844276.267662,state
2018,rajasthan,9973697,15559086175.759623,state
2018,delhi,9373723,17446299902.205147,state
2018,bengaluru urban,11916035,23824727965.49048,district
2018,pune,5162876,8513428062.925206,district
2018,chennai,3719593,7305357440.752291,district
2018,central delhi,3589206,6223466821.092629,district
2018,mumbai,3277612,6048515205.760132,district
2018,jaipur,3175255,4952882923.415596,district
2018,hyderabad,3156805,6628159910.681627,district
2018,birbhum,2775489,3988930679.767912,district
2018,kolkata,2501448,4109821729.8900533,district
2018,north twenty four parganas,2119664,2509379355.091834,district
2018,560001,3777086,7545089760.607167,pincode
2018,110006,3069733,5237594871.124264,pincode
2018,600003,2771900,5194488793.022476,pincode
2018,400008,2631405,4703762207.003538,pincode
2018,731101,2134258,3697928407.603048,pincode
2018,700009,1473202,2566583723.725673,pincode
2018,411001,1316115,2145613783.5507011,pincode
2018,500012,1024336,2257038218.1929708,pincode
2018,201301,971854,1673280979.3831716,pincode
2018,462001,928983,1443626493.1959715,pincode
2018,west bengal,53705416,41843934183.177635,state
2018,maharashtra,31538538,52260817733.24835,state
2018,odisha,30052155,23094515775.585762,state
