year,state,registered_users,app_opens
2018,puducherry,49318,0
2018,tamil nadu,2104754,0
2018,uttar pradesh,4694250,0
2018,madhya pradesh,2553603,0
2018,andhra pradesh,3336450,0
2018,tripura,55157,0
2018,lakshadweep,501,0
2018,manipur,29925,0
2018,maharashtra,6106994,0
2018,dadra & nagar haveli & daman & diu,53258,0
2018,meghalaya,18513,0
2018,andaman & nicobar islands,6740,0
2018,haryana,1847357,0
2018,rajasthan,3158202,0
2018,ladakh,8784,0
2018,punjab,847142,0
2018,assam,385237,0
2018,jharkhand,885762,0
2018,odisha,1594015,0
2018,bihar,2133804,0
2018,kerala,784184,0
2018,karnataka,3717763,0
2018,chandigarh,86268,0
2018,telangana,3315560,0
2018,himachal pradesh,227373,0
2018,west bengal,2604789,0
2018,gujarat,2690048,0
2018,sikkim,20051,0
2018,nagaland,15074,0
2018,mizoram,7593,0
2018,chhattisgarh,679263,0
2018,jammu & kashmir,176425,0
2018,goa,91936,0
2018,arunachal pradesh,21495,0
2018,delhi,2087022,0
2018,uttarakhand,483043,0
2018,puducherry,65580,0
2018,tamil nadu,2996036,0
2018,uttar pradesh,6442554,0
2018,madhya pradesh,3441662,0
2018,andhra pradesh,4402540,0
2018,tripura,83369,0
2018,lakshadweep,686,0
2018,manipur,46055,0
2018,maharashtra,8222371,0
2018,dadra & nagar haveli & daman & diu,71458,0
2018,meghalaya,26618,0
2018,andaman & nicobar islands,9405,0
2018,haryana,2447221,0
2018,rajasthan,4212964,0
2018,ladakh,12918,0
2018,punjab,1152190,0
2018,assam,571046,0
2018,jharkhand,1230599,0
2018,odisha,2185781,0
2018,bihar,3005872,0
2018,kerala,1066587,0
2018,karnataka,5030665,0
2018,chandigarh,115219,0
2018,telangana,4260115,0
2018,himachal pradesh,315299,0
2018,west bengal,3833795,0
2018,gujarat,3565825,0
2018,sikkim,28097,0
2018,nagaland,22436,0
2018,mizoram,10422,0
2018,chhattisgarh,950675,0
2018,jammu & kashmir,261609,0
2018,goa,122174,0
2018,arunachal pradesh,32883,0
2018,delhi,2756141,0
2018,uttarakhand,649142,0
2018,puducherry,81546,0
2018,tamil nadu,3900177,0
2018,uttar pradesh,8096483,0
2018,madhya pradesh,4309309,0
2018,andhra pradesh,5427617,0
2018,tripura,116874,0
2018,lakshadweep,918,0
2018,manipur,61935,0
2018,maharashtra,10435033,0
2018,dadra & nagar haveli & daman & diu,92107,0
2018,meghalaya,37281,0
2018,andaman & nicobar islands,12149,0
2018,haryana,3020398,0
