year,level,name,registered_users
2018,state,maharashtra,6106994
2018,state,uttar pradesh,4694250
2018,state,karnataka,3717763
2018,state,andhra pradesh,3336450
2018,state,telangana,3315560
2018,state,rajasthan,3158202
2018,state,gujarat,2690048
2018,state,west bengal,2604789
2018,state,madhya pradesh,2553603
2018,state,bihar,2133804
2018,district,bengaluru urban,1922368
2018,district,pune,1211643
2018,district,jaipur,900773
2018,district,mumbai suburban,719300
2018,district,hyderabad,655175
2018,district,rangareddy,635175
2018,district,thane,631864
2018,district,ahmadabad,572811
2018,district,medchal malkajgiri,549429
2018,district,visakhapatnam,497187
2018,pincode,201301,114625
2018,pincode,500072,105012
2018,pincode,560068,98487
2018,pincode,110059,95496
2018,pincode,110092,83600
2018,pincode,122001,82656
2018,pincode,560037,75304
2018,pincode,395006,72275
2018,pincode,800001,71092
2018,pincode,302012,68098
2018,state,maharashtra,8222371
2018,state,uttar pradesh,6442554
2018,state,karnataka,5030665
2018,state,andhra pradesh,4402540
2018,state,telangana,4260115
2018,state,rajasthan,4212964
2018,state,west bengal,3833795
2018,state,gujarat,3565825
2018,state,madhya pradesh,3441662
2018,state,bihar,3005872
2018,district,bengaluru urban,2553312
2018,district,pune,1592293
2018,district,jaipur,1182983
2018,district,mumbai suburban,957633
2018,district,thane,861292
2018,district,hyderabad,842483
2018,district,rangareddy,804959
2018,district,ahmadabad,751746
2018,district,medchal malkajgiri,696211
2018,district,surat,652372
2018,pincode,201301,151073
2018,pincode,500072,129543
2018,pincode,560068,128921
2018,pincode,110059,124901
2018,pincode,110092,108175
2018,pincode,122001,107275
2018,pincode,800001,94711
2018,pincode,395006,94500
2018,pincode,560037,93771
2018,pincode,302012,89071
2018,state,maharashtra,10435033
2018,state,uttar pradesh,8096483
2018,state,karnataka,6372649
2018,state,andhra pradesh,5427617
2018,state,rajasthan,5175453
2018,state,telangana,5138501
2018,state,west bengal,4851740
2018,state,gujarat,4433183
2018,state,madhya pradesh,4309309
2018,state,tamil nadu,3900177
2018,district,bengaluru urban,3167597
2018,district,pune,1974138
2018,district,jaipur,1438305
2018,district,mumbai suburban,1218632
2018,district,thane,1104206
2018,district,hyderabad,1024241
2018,district,rangareddy,963186
2018,district,ahmadabad,919252
2018,district,medchal malkajgiri,828425
2018,district,surat,808005
2018,pincode,201301,188664
2018,pincode,110059,156028
2018,pincode,500072,152034
2018,pincode,560068,151862
2018,pincode,110092,136676
2018,pincode,122001,130847
2018,pincode,395006,113391
2018,pincode,302012,107088
2018,pincode,560037,106572
2018,pincode,800001,106255
2018,state,maharashtra,13381602
2018,state,uttar pradesh,10341964
2018,state,karnataka,8315802
2018,state,andhra pradesh,6857409
2018,state,telangana,6529679
2018,state,rajasthan,6358738
2018,state,west bengal,6279278
2018,state,gujarat,5579040
2018,state,madhya pradesh,5365442
2018,state,tamil nadu,5199878
2018,district,bengaluru urban,4126734
2018,district,pune,2498852
2018,district,jaipur,1733893
2018,district,mumbai suburban,1578487
2018,district,thane,1473811
2018,district,hyderabad,1336872
